case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
steady,0,0,32,600,0,0,0,0
steady,0,1,32,500,0,0,0,0
steady,0,2,32,400,0,0,0,0
steady,0,3,32,500,0,0,0,0
steady,0,4,32,600,0,0,0,0
steady,0,5,32,400,0,0,0,0
steady,0,6,32,400,0,0,0,0
steady,1,0,32,3700,0,0,0,0
steady,1,1,32,3800,0,0,0,0
steady,1,2,32,3800,0,0,0,0
steady,1,3,32,3700,0,0,0,0
steady,1,4,32,3700,0,0,0,0
steady,1,5,32,3700,0,0,0,0
steady,1,6,32,3700,0,0,0,0
steady,1000,0,32,3797700,0,0,0,0
steady,1000,1,32,4302200,0,0,0,0
steady,1000,2,32,3794000,0,0,0,0
steady,1000,3,32,3803900,0,0,0,0
steady,1000,4,32,3813300,0,0,0,0
steady,1000,5,32,3868800,0,0,0,0
steady,1000,6,32,3799000,0,0,0,0
steady,10000,0,32,38151600,0,0,0,0
steady,10000,1,32,38237000,0,0,0,0
steady,10000,2,32,38995100,0,0,0,0
steady,10000,3,32,56774000,0,0,0,0
steady,10000,4,32,73816700,0,0,0,0
steady,10000,5,32,55954400,0,0,0,0
steady,10000,6,32,56092600,0,0,0,0
steady,100000,0,32,613495000,0,0,0,0
steady,100000,1,32,591887400,0,0,0,0
steady,100000,2,32,583623700,0,0,0,0
steady,100000,3,32,468465400,0,0,0,0
steady,100000,4,32,504241300,0,0,0,0
steady,100000,5,32,601675100,0,0,0,0
steady,100000,6,32,602513200,0,0,0,0
cold,10000,0,1,1283400,0,0,0,0
cold,10000,1,1,1301600,0,0,0,0
cold,10000,2,1,1294400,0,0,0,0
cold,10000,3,1,1280000,0,0,0,0
cold,10000,4,1,1285200,0,0,0,0
cold,10000,5,1,1285800,0,0,0,0
cold,10000,6,1,1273100,0,0,0,0
grow,100000,0,1,14781400,0,0,0,0
grow,100000,1,1,14786800,0,0,0,0
grow,100000,2,1,14603900,0,0,0,0
grow,100000,3,1,14428700,0,0,0,0
grow,100000,4,1,14672900,0,0,0,0
grow,100000,5,1,14541200,0,0,0,0
grow,100000,6,1,29802900,0,0,0,0
shrink,1000,0,32,3870600,0,0,0,0
shrink,1000,1,32,3890800,0,0,0,0
shrink,1000,2,32,3918900,0,0,0,0
shrink,1000,3,32,3854000,0,0,0,0
shrink,1000,4,32,3862900,0,0,0,0
shrink,1000,5,32,21306600,0,0,0,0
shrink,1000,6,32,3862200,0,0,0,0
alternate,10000,0,32,57227500,0,0,0,0
alternate,10000,1,32,46857700,0,0,0,0
alternate,10000,2,32,38665400,0,0,0,0
alternate,10000,3,32,39578900,0,0,0,0
alternate,10000,4,32,39340400,0,0,0,0
alternate,10000,5,32,38835700,0,0,0,0
alternate,10000,6,32,38683400,0,0,0,0
fresh_output,10000,0,32,40918200,0,0,0,0
fresh_output,10000,1,32,44766900,0,0,0,0
fresh_output,10000,2,32,40320500,0,0,0,0
fresh_output,10000,3,32,40251300,0,0,0,0
fresh_output,10000,4,32,40330200,0,0,0,0
fresh_output,10000,5,32,40260400,0,0,0,0
fresh_output,10000,6,32,82522000,0,0,0,0
fail_last,10000,0,32,41273100,0,0,0,0
fail_last,10000,1,32,39105400,0,0,0,0
fail_last,10000,2,32,39867100,0,0,0,0
fail_last,10000,3,32,39118500,0,0,0,0
fail_last,10000,4,32,38465800,0,0,0,0
fail_last,10000,5,32,38431800,0,0,0,0
fail_last,10000,6,32,39801400,0,0,0,0
fail_last,100000,0,32,403904300,0,0,0,0
fail_last,100000,1,32,387559900,0,0,0,0
fail_last,100000,2,32,388051500,0,0,0,0
fail_last,100000,3,32,386817200,0,0,0,0
fail_last,100000,4,32,390276300,0,0,0,0
fail_last,100000,5,32,389522200,0,0,0,0
fail_last,100000,6,32,390035400,0,0,0,0
retry,10000,0,32,51160800,0,0,0,0
retry,10000,1,32,41098100,0,0,0,0
retry,10000,2,32,39280200,0,0,0,0
retry,10000,3,32,39051700,0,0,0,0
retry,10000,4,32,40600400,0,0,0,0
retry,10000,5,32,39283000,0,0,0,0
retry,10000,6,32,39150600,0,0,0,0
retry,100000,0,32,399324400,0,0,0,0
retry,100000,1,32,397653700,0,0,0,0
retry,100000,2,32,395699700,0,0,0,0
retry,100000,3,32,398504100,0,0,0,0
retry,100000,4,32,400867900,0,0,0,0
retry,100000,5,32,393748200,0,0,0,0
retry,100000,6,32,397263100,0,0,0,0
parking,10000,0,32,94422600,0,0,0,0
parking,10000,1,32,94356500,0,0,0,0
parking,10000,2,32,95072800,0,0,0,0
parking,10000,3,32,94625800,0,0,0,0
parking,10000,4,32,96499600,0,0,0,0
parking,10000,5,32,95864800,0,0,0,0
parking,10000,6,32,95231300,0,0,0,0
parking,100000,0,32,935659400,0,0,0,0
parking,100000,1,32,934318500,0,0,0,0
parking,100000,2,32,955104100,0,0,0,0
parking,100000,3,32,932423800,0,0,0,0
parking,100000,4,32,923457600,0,0,0,0
parking,100000,5,32,923194200,0,0,0,0
parking,100000,6,32,923392000,0,0,0,0
retained_build,10000,0,3,3633000,0,0,0,0
retained_build,100000,0,3,37466100,0,0,0,0
