case,records,sample,iterations,ns,allocations,reallocations,allocated_bytes,reallocated_bytes
steady,0,0,32,800,0,0,0,0
steady,0,1,32,500,0,0,0,0
steady,0,2,32,500,0,0,0,0
steady,0,3,32,400,0,0,0,0
steady,0,4,32,500,0,0,0,0
steady,0,5,32,400,0,0,0,0
steady,0,6,32,500,0,0,0,0
steady,1,0,32,3400,0,0,0,0
steady,1,1,32,3500,0,0,0,0
steady,1,2,32,3400,0,0,0,0
steady,1,3,32,3400,0,0,0,0
steady,1,4,32,3500,0,0,0,0
steady,1,5,32,3500,0,0,0,0
steady,1,6,32,3500,0,0,0,0
steady,1000,0,32,3816300,0,0,0,0
steady,1000,1,32,3961300,0,0,0,0
steady,1000,2,32,3816400,0,0,0,0
steady,1000,3,32,3798400,0,0,0,0
steady,1000,4,32,3834900,0,0,0,0
steady,1000,5,32,3874100,0,0,0,0
steady,1000,6,32,3806400,0,0,0,0
steady,10000,0,32,38120500,0,0,0,0
steady,10000,1,32,38092800,0,0,0,0
steady,10000,2,32,56342000,0,0,0,0
steady,10000,3,32,57242900,0,0,0,0
steady,10000,4,32,56659100,0,0,0,0
steady,10000,5,32,60853600,0,0,0,0
steady,10000,6,32,55503500,0,0,0,0
steady,100000,0,32,607179700,0,0,0,0
steady,100000,1,32,613517500,0,0,0,0
steady,100000,2,32,600794900,0,0,0,0
steady,100000,3,32,591939300,0,0,0,0
steady,100000,4,32,466817400,0,0,0,0
steady,100000,5,32,380878500,0,0,0,0
steady,100000,6,32,381875400,0,0,0,0
cold,10000,0,1,1248200,0,0,0,0
cold,10000,1,1,1195000,0,0,0,0
cold,10000,2,1,1202700,0,0,0,0
cold,10000,3,1,1186600,0,0,0,0
cold,10000,4,1,1194600,0,0,0,0
cold,10000,5,1,1181700,0,0,0,0
cold,10000,6,1,1186000,0,0,0,0
grow,100000,0,1,13676500,0,0,0,0
grow,100000,1,1,13573800,0,0,0,0
grow,100000,2,1,13640900,0,0,0,0
grow,100000,3,1,13588200,0,0,0,0
grow,100000,4,1,13572100,0,0,0,0
grow,100000,5,1,13648000,0,0,0,0
grow,100000,6,1,13611100,0,0,0,0
shrink,1000,0,32,3778300,0,0,0,0
shrink,1000,1,32,9289400,0,0,0,0
shrink,1000,2,32,3798700,0,0,0,0
shrink,1000,3,32,3771600,0,0,0,0
shrink,1000,4,32,3863500,0,0,0,0
shrink,1000,5,32,3776200,0,0,0,0
shrink,1000,6,32,3787000,0,0,0,0
alternate,10000,0,32,56352100,0,0,0,0
alternate,10000,1,32,42585700,0,0,0,0
alternate,10000,2,32,37986400,0,0,0,0
alternate,10000,3,32,38249000,0,0,0,0
alternate,10000,4,32,37981800,0,0,0,0
alternate,10000,5,32,37918100,0,0,0,0
alternate,10000,6,32,37927600,0,0,0,0
fresh_output,10000,0,32,42824600,0,0,0,0
fresh_output,10000,1,32,40696400,0,0,0,0
fresh_output,10000,2,32,39877300,0,0,0,0
fresh_output,10000,3,32,41231700,0,0,0,0
fresh_output,10000,4,32,39667400,0,0,0,0
fresh_output,10000,5,32,39631300,0,0,0,0
fresh_output,10000,6,32,39477600,0,0,0,0
fail_last,10000,0,32,37900900,0,0,0,0
fail_last,10000,1,32,37923700,0,0,0,0
fail_last,10000,2,32,38032100,0,0,0,0
fail_last,10000,3,32,37855900,0,0,0,0
fail_last,10000,4,32,38292400,0,0,0,0
fail_last,10000,5,32,38010300,0,0,0,0
fail_last,10000,6,32,38182100,0,0,0,0
fail_last,100000,0,32,381596900,0,0,0,0
fail_last,100000,1,32,386011300,0,0,0,0
fail_last,100000,2,32,380408500,0,0,0,0
fail_last,100000,3,32,381026100,0,0,0,0
fail_last,100000,4,32,381918000,0,0,0,0
fail_last,100000,5,32,380643600,0,0,0,0
fail_last,100000,6,32,407341500,0,0,0,0
retry,10000,0,32,38330500,0,0,0,0
retry,10000,1,32,65698600,0,0,0,0
retry,10000,2,32,70896300,0,0,0,0
retry,10000,3,32,49495000,0,0,0,0
retry,10000,4,32,37931900,0,0,0,0
retry,10000,5,32,37940500,0,0,0,0
retry,10000,6,32,37906100,0,0,0,0
retry,100000,0,32,414053500,0,0,0,0
retry,100000,1,32,384229900,0,0,0,0
retry,100000,2,32,424795600,0,0,0,0
retry,100000,3,32,396001700,0,0,0,0
retry,100000,4,32,378930800,0,0,0,0
retry,100000,5,32,398922600,0,0,0,0
retry,100000,6,32,378208500,0,0,0,0
parking,10000,0,32,94858600,0,0,0,0
parking,10000,1,32,90998700,0,0,0,0
parking,10000,2,32,91401800,0,0,0,0
parking,10000,3,32,107965100,0,0,0,0
parking,10000,4,32,90975900,0,0,0,0
parking,10000,5,32,91367000,0,0,0,0
parking,10000,6,32,92626500,0,0,0,0
parking,100000,0,32,911009800,0,0,0,0
parking,100000,1,32,914086700,0,0,0,0
parking,100000,2,32,910035000,0,0,0,0
parking,100000,3,32,912878000,0,0,0,0
parking,100000,4,32,910448200,0,0,0,0
parking,100000,5,32,909559500,0,0,0,0
parking,100000,6,32,914580400,0,0,0,0
retained_build,10000,0,3,3558400,0,0,0,0
retained_build,100000,0,3,36199700,0,0,0,0
